HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB00119	Endogenous	C2H2O3	74.00039393	75.00767053	0.00767053	n
HMDB31635	Endogenous	C3H6S	74.01902088	75.02629748	0.026297482	n
HMDB40345	Food	C3H6S	74.01902088	75.02629748	0.026297482	n
HMDB03052	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB03453	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB06458	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB06961	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB31229	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB31523	Endogenous	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB00237	Food	C3H6O2	74.03677944	75.04405604	0.044056036	n
HMDB31419	Endogenous	C2H6N2O	74.04801282	75.05528942	0.055289424	n
HMDB04327	Endogenous	C4H10O	74.07316494	75.08044154	0.080441542	n
HMDB06006	Endogenous	C4H10O	74.07316494	75.08044154	0.080441542	n
HMDB11469	Endogenous	C4H10O	74.07316494	75.08044154	0.080441542	n
HMDB31456	Endogenous	C4H10O	74.07316494	75.08044154	0.080441542	n
HMDB00002	Endogenous	C3H10N2	74.08439833	75.09167493	0.09167493	n
HMDB13136	Endogenous	C3H10N2	74.08439833	75.09167493	0.09167493	n
HMDB00123	Endogenous	C2H5NO2	75.03202841	76.03930501	0.039305009	n
HMDB31239	Endogenous	C2H5NO2	75.03202841	76.03930501	0.039305009	n
HMDB12136	Endogenous	C3H9NO	75.06841392	76.07569052	0.075690515	n
HMDB31188	Endogenous	C2H4OS	75.99828544	77.00556204	0.00556204	n
HMDB34155	Food	CH4N2S	76.00951883	77.01679543	0.016795428	n
HMDB00115	Endogenous	C2H4O3	76.01604399	77.02332059	0.023320594	n
HMDB31608	Endogenous	C2H4O3	76.01604399	77.02332059	0.023320594	n
HMDB31238	Endogenous	C3H8S	76.03467095	77.04194755	0.041947546	n
HMDB31634	Endogenous	C3H8S	76.03467095	77.04194755	0.041947546	n
HMDB34238	Food	C3H8S	76.03467095	77.04194755	0.041947546	n
HMDB06213	Endogenous	C3H8O2	76.0524295	77.0597061	0.0597061	n
HMDB02991	Endogenous	C2H7NS	77.02991992	78.03719652	0.037196519	n
HMDB12295	Endogenous	C3H9S	77.04249598	78.04977258	0.049772578	n
HMDB31332	Endogenous	C2H5ClO	80.00289249	81.01016909	0.010169089	n
HMDB03361	Endogenous	C4H4N2	80.03744814	81.04472474	0.044724738	n
HMDB34176	Food	C4H4N2	80.03744814	81.04472474	0.044724738	n
HMDB33113	Food	C5H7N	81.05784923	82.06512583	0.065125829	n
HMDB33114	Food	C5H7N	81.05784923	82.06512583	0.065125829	n
HMDB13749	Endogenous	C5H6O	82.04186481	83.04914141	0.049141414	n
HMDB31597	Endogenous	C5H6O	82.04186481	83.04914141	0.049141414	n
HMDB31544	Endogenous	C6H10	82.07825032	83.08552692	0.08552692	n
HMDB03929	Endogenous	C3H5N3	83.04834718	84.05562378	0.055623775	n
HMDB33529	Food	C5H9N	83.07349929	84.08077589	0.080775893	n
HMDB40173	Food	C5H9N	83.07349929	84.08077589	0.080775893	n
HMDB29718	Endogenous	C4H4S	84.00337082	85.01064742	0.010647418	n
HMDB32330	Endogenous	C4H4O2	84.02112937	85.02840597	0.028405972	n
HMDB04363	Endogenous	C3H4N2O	84.03236276	85.03963936	0.03963936	n
HMDB01184	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB12157	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31407	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31512	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31530	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31601	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31606	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB31607	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB32458	Endogenous	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB37788	Food	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB40584	Food	C5H8O	84.05751488	85.06479148	0.064791478	n
HMDB29597	Endogenous	C6H12	84.09390038	85.10117698	0.101176984	n
HMDB31542	Endogenous	C6H12	84.09390038	85.10117698	0.101176984	n
HMDB29713	Endogenous	C3H3NS	84.99861979	86.00589639	0.005896391	n
HMDB02039	Endogenous	C4H7NO	85.05276385	86.06004045	0.060040451	n
HMDB34301	Food	C5H11N	85.08914936	86.09642596	0.096425957	n
HMDB33875	Food	C4H6S	86.01902088	87.02629748	0.026297482	n
HMDB33922	Food	C4H6S	86.01902088	87.02629748	0.026297482	n
HMDB00549	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB02523	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
HMDB03407	Endogenous	C4H6O2	86.03677944	87.04405604	0.044056036	n
