"...1","mz","mzmin","mzmax","MD"
"CP108",341.155975341797,341.145843505859,341.166137695312,0.155975341796989
"CP109",341.305023193359,341.29150390625,341.315185546875,0.305023193358977
"CP110",342.309753417969,342.296142578125,342.319946289062,0.309753417968977
"CP111",343.207489013672,343.162567138672,343.249877929688,0.207489013671989
"CP112",345.152465820312,344.2216796875,345.207885742188,0.152465820311988
"CP113",353.266296386719,353.252044677734,353.277008056641,0.266296386718977
"CP114",354.270172119141,354.255859375,354.280914306641,0.270172119141023
"CP115",355.069946289062,355.055572509766,355.080718994141,0.0699462890619884
"CP116",355.282104492188,355.267730712891,355.296478271484,0.282104492188012
"CP117",356.070648193359,356.056213378906,356.081481933594,0.0706481933589771
"CP118",357.1513671875,356.312347412109,357.242492675781,0.1513671875
"CP119",367.246948242188,367.195953369141,367.296081542969,0.246948242188012
"CP120",368.250732421875,368.235565185547,368.265930175781,0.250732421875
"CP121",369.188781738281,369.12451171875,369.250793457031,0.188781738281023
"CP122",371.239135742188,371.227600097656,371.250640869141,0.239135742188012
"CP123",373.255676269531,373.240203857422,373.267303466797,0.255676269531023
"CP124",374.260650634766,374.2451171875,374.272308349609,0.260650634766023
"CP125",381.297027587891,381.281036376953,381.309020996094,0.297027587891023
"CP126",382.302307128906,382.286254882812,382.314361572266,0.302307128906023
"CP127",385.184173583984,384.450592041016,385.249114990234,0.184173583983977
"CP128",387.233856201172,387.221588134766,387.246124267578,0.233856201171989
"CP129",388.238128662109,388.225830078125,388.250457763672,0.238128662108977
"CP130",389.250457763672,389.238098144531,389.262847900391,0.250457763671989
"CP131",395.277709960938,395.265045166016,395.290374755859,0.277709960938012
"CP132",396.279327392578,396.262390136719,396.292022705078,0.279327392578011
"CP133",397.183319091797,397.170562744141,397.191802978516,0.183319091796989
"CP134",397.293823242188,397.281066894531,397.302337646484,0.293823242188012
"CP135",399.201141357422,399.136932373047,399.265380859375,0.201141357421989
"CP136",401.217132568359,401.152435302734,401.277557373047,0.217132568358977
"CP137",403.1962890625,403.15283203125,403.235412597656,0.1962890625
"CP138",411.270080566406,411.193969726562,412.198577880859,0.270080566406023
"CP139",413.2880859375,413.238464355469,414.160064697266,0.2880859375
"CP140",415.266296386719,415.248138427734,415.279937744141,0.266296386718977
"CP141",416.272186279297,416.253936767578,416.285858154297,0.272186279296989
"CP142",417.208709716797,417.062347412109,417.270477294922,0.208709716796989
"CP143",425.214477539062,425.153289794922,425.27099609375,0.214477539061988
"CP144",427.265167236328,427.198791503906,427.326812744141,0.265167236328011
"CP145",429.091552734375,429.072448730469,429.105865478516,0.091552734375
"CP146",429.244567871094,429.201599121094,429.287567138672,0.244567871093977
"CP147",430.090881347656,430.071716308594,430.105224609375,0.0908813476560226
"CP148",430.2490234375,430.234649658203,430.258605957031,0.2490234375
"CP149",431.089660644531,431.070434570312,431.104095458984,0.0896606445310226
"CP150",431.261810302734,431.207305908203,431.314697265625,0.261810302733977
"CP151",432.263702392578,432.249206542969,432.273345947266,0.263702392578011
"CP152",433.205780029297,433.186401367188,433.220275878906,0.205780029296989
"CP153",437.237915039062,437.223205566406,437.252655029297,0.237915039061988
"CP154",439.232330322266,439.173034667969,439.286712646484,0.232330322266023
"CP155",441.210968017578,441.15625,441.2607421875,0.210968017578011
"CP156",443.228088378906,443.162963867188,443.288208007812,0.228088378906023
"CP157",445.122436523438,445.102264404297,445.137542724609,0.122436523438012
"CP158",445.279205322266,445.233795166016,445.324615478516,0.279205322266023
"CP159",453.254516601562,453.176818847656,453.332244873047,0.254516601561988
